equipo_tag,temp_motor_c,presion_hidraulica_psi,vibracion_rodamientos_mm_s,presion_aceite_psi,temp_refrigerante_c,rpm_motor,voltaje_sistema_v,corriente_a,desgaste_componente_hrs,falla_maquina,tipo_falla
PALA-01,87.1,3035.28,0.4,56.17,77.64,1663.7,26.22,79.97,2676.2,0,NORMAL
PALA-02,91.27,3515.84,8.54,56.29,82.28,1492.4,26.1,173.04,2962.2,1,FALLA_DESGASTE_RODAMIENTOS
PALA-01,83.13,3057.86,2.54,66.59,85.55,1689.4,26.98,147.04,3017.9,0,NORMAL
PALA-01,84.7,3402.89,2.22,59.98,79.01,1658.5,26.63,168.52,2489.9,0,NORMAL
CARG-01,86.67,3182.87,2.42,56.73,79.44,1563.1,27.14,119.1,896.5,0,NORMAL
PALA-02,80.76,3043.92,1.3,43.32,78.91,1742.7,25.98,143.89,2015.5,0,NORMAL
PALA-02,82.82,3160.56,2.09,55.96,76.4,1488.9,27.3,202.83,2235.3,0,NORMAL
CARG-02,76.09,3348.09,3.33,61.91,81.54,1765.7,27.11,144.1,2576.9,0,NORMAL
PALA-01,82.62,3248.77,1.55,51.87,81.68,1716.0,26.21,209.35,718.1,0,NORMAL
CARG-02,84.24,3451.32,2.04,64.95,80.83,1652.4,25.87,64.62,1833.3,0,NORMAL
PALA-02,84.32,3508.43,0.69,56.72,88.36,1582.5,26.88,178.87,1645.5,0,NORMAL
CARG-02,118.19,3037.05,2.52,55.47,109.64,1544.4,25.13,161.46,956.3,1,FALLA_TERMICA
PALA-03,78.51,3023.87,1.32,49.05,76.53,1825.8,26.07,109.66,1909.5,0,NORMAL
CARG-01,79.6,3015.14,0.94,61.52,83.53,1684.1,26.62,192.06,3186.2,0,NORMAL
CARG-02,90.53,3088.14,1.47,49.85,79.64,1518.6,26.28,133.79,2703.2,0,NORMAL
PALA-02,81.32,3448.76,2.59,51.18,79.68,1718.6,25.54,168.1,1974.7,0,NORMAL
CARG-02,82.9,3350.87,1.34,44.59,80.31,1687.2,26.47,125.46,2567.5,0,NORMAL
PALA-02,81.7,3151.9,1.05,58.48,79.86,1889.6,25.6,142.14,2771.7,0,NORMAL
PALA-02,78.3,3248.0,2.8,56.94,82.08,1670.6,26.61,184.69,2544.2,0,NORMAL
PALA-02,89.31,2573.72,1.17,35.57,89.46,1837.5,26.09,242.33,3019.2,1,FALLA_PRESION_HIDRAULICA
PALA-03,79.63,3593.44,5.2,57.7,79.53,1693.7,26.29,128.58,2730.6,0,NORMAL
PALA-01,76.93,3296.69,3.26,57.23,81.36,1578.2,25.74,203.73,2905.7,0,NORMAL
PALA-03,79.97,2771.33,4.08,52.17,81.94,1776.6,27.02,206.9,1841.0,0,NORMAL
PALA-03,72.99,3303.51,2.13,50.08,78.95,1866.1,26.28,182.32,1785.5,0,NORMAL
CARG-01,79.07,3418.25,1.31,45.42,79.39,1828.8,25.81,186.86,1285.7,0,NORMAL
CARG-01,77.64,3290.43,3.38,53.11,84.97,1757.7,26.3,135.25,1751.7,0,NORMAL
PALA-02,84.78,3380.77,1.0,47.46,78.96,1839.7,27.79,126.07,2455.1,0,NORMAL
PALA-02,78.97,3314.27,0.63,54.81,77.45,1740.4,26.67,143.45,1123.2,0,NORMAL
PALA-02,86.0,3027.76,2.42,53.2,88.13,1729.8,27.26,169.33,820.1,0,NORMAL
PALA-01,88.29,3090.48,0.88,51.99,76.18,1543.3,25.11,149.45,3089.6,0,NORMAL
PALA-01,85.52,3192.19,1.88,59.23,84.53,1745.5,26.24,133.86,144.2,0,NORMAL
PALA-02,81.03,3441.77,1.82,49.07,80.19,1901.0,25.6,135.41,3274.7,0,NORMAL
PALA-02,82.64,3112.14,2.97,44.76,76.14,1523.7,25.98,149.36,2984.3,0,NORMAL
CARG-02,75.14,3332.06,0.96,52.87,79.49,1562.5,25.79,190.11,2322.5,0,NORMAL
PALA-03,81.4,3304.66,0.8,50.3,80.1,1680.8,27.43,122.24,2671.0,0,NORMAL
PALA-02,78.13,3535.52,1.74,54.61,74.48,1557.3,26.97,179.81,2119.1,0,NORMAL
PALA-03,85.12,3242.5,0.34,49.43,82.71,1802.1,25.8,178.38,2026.7,0,NORMAL
PALA-01,93.58,2934.14,2.33,56.1,82.31,1512.7,26.03,141.71,2288.4,0,NORMAL
PALA-02,84.25,3366.44,2.22,49.14,79.61,1801.7,26.69,170.36,68.5,0,NORMAL
PALA-03,73.04,3634.85,2.24,49.08,82.89,1840.5,27.11,201.52,2929.0,0,NORMAL
PALA-02,80.37,2193.01,1.72,38.51,81.82,1798.8,27.23,148.65,2866.1,1,FALLA_PRESION_HIDRAULICA
PALA-02,82.55,3108.22,4.62,53.77,86.17,1722.5,26.91,132.97,1727.9,0,NORMAL
CARG-02,82.39,3055.25,2.46,48.06,76.69,1784.1,27.85,126.32,867.4,0,NORMAL
CARG-02,78.71,3078.47,2.81,49.24,79.83,1581.4,26.74,130.43,1203.3,0,NORMAL
PALA-03,83.1,3610.6,1.41,52.14,85.0,1751.2,26.04,187.68,1523.5,0,NORMAL
PALA-03,76.41,3191.08,1.76,48.29,83.17,1645.8,25.75,158.0,598.6,0,NORMAL
PALA-03,77.75,3130.72,1.2,52.56,71.79,1826.9,25.54,103.93,2147.8,0,NORMAL
PALA-01,84.91,3221.48,2.1,52.74,74.32,1805.2,25.43,203.92,573.8,0,NORMAL
PALA-02,77.43,3192.96,1.21,49.41,81.0,1622.8,26.94,153.68,2407.4,0,NORMAL
PALA-01,84.42,3532.18,2.85,57.25,87.56,1762.2,27.67,176.8,1995.3,0,NORMAL
PALA-02,75.84,3067.39,1.93,48.9,79.27,1767.2,26.48,181.05,2933.6,0,NORMAL
PALA-03,89.94,3462.52,0.25,60.23,83.6,1663.1,27.86,130.8,1423.4,0,NORMAL
PALA-01,78.52,3271.98,1.15,52.91,81.33,1722.7,26.42,116.93,3175.2,0,NORMAL
CARG-02,80.99,3467.26,3.88,50.7,83.32,1781.4,26.89,126.16,2302.7,0,NORMAL
CARG-02,83.49,3534.87,4.02,56.7,85.28,1665.2,25.13,153.17,52.8,0,NORMAL
CARG-01,79.46,3265.26,2.62,54.17,84.78,1613.7,27.05,175.31,1558.9,0,NORMAL
PALA-03,82.65,3193.29,1.75,57.8,84.64,1747.3,25.89,225.22,3386.1,0,NORMAL
CARG-02,84.59,3261.91,3.62,43.99,78.54,1898.0,27.06,191.42,3364.2,0,NORMAL
PALA-01,86.32,3232.94,1.83,56.58,80.4,1701.7,27.43,91.23,2021.9,0,NORMAL
CARG-01,85.56,2951.75,12.15,51.4,83.07,1677.7,26.64,154.66,2956.3,1,FALLA_DESGASTE_RODAMIENTOS
PALA-01,81.23,3529.45,2.09,54.19,82.93,1624.9,26.75,80.39,866.7,0,NORMAL
CARG-01,81.34,3294.24,1.66,53.56,83.38,1858.0,26.49,193.62,1158.5,0,NORMAL
PALA-02,92.57,3040.64,2.84,60.73,73.93,1825.0,26.91,153.03,1414.4,0,NORMAL
CARG-02,86.27,2877.85,1.06,44.7,85.79,1702.5,27.9,161.24,1476.9,0,NORMAL
CARG-02,77.85,2831.03,1.21,62.07,74.19,1625.5,26.41,151.73,2488.8,0,NORMAL
PALA-01,82.45,3388.69,0.84,57.53,78.0,1624.4,26.53,162.64,312.5,0,NORMAL
PALA-02,80.49,3138.58,2.47,54.76,81.78,1617.3,24.98,136.0,207.9,0,NORMAL
CARG-02,81.39,3168.12,1.89,46.83,80.88,1660.8,26.74,163.44,1846.0,0,NORMAL
PALA-02,76.47,3337.87,6.87,45.64,86.67,1652.7,25.78,126.75,2045.9,0,NORMAL
CARG-02,80.15,3157.11,2.52,51.2,76.32,1631.4,26.24,170.18,1386.7,0,NORMAL
PALA-03,90.15,3348.37,1.64,57.18,79.54,1853.8,26.78,169.47,2626.9,0,NORMAL
PALA-02,84.61,3267.15,1.81,53.97,73.12,1910.2,25.11,176.74,631.0,0,NORMAL
PALA-02,70.79,3234.86,2.22,56.89,81.53,1589.3,26.77,156.53,3468.7,0,NORMAL
PALA-01,87.48,2966.9,1.41,46.68,80.17,1651.4,26.6,196.37,1259.2,0,NORMAL
CARG-01,86.9,3102.45,0.42,54.22,76.04,1606.3,26.96,223.65,1194.0,0,NORMAL
PALA-02,80.38,3358.46,0.85,59.48,86.24,1758.2,25.89,106.31,1407.0,0,NORMAL
PALA-03,85.23,3127.24,1.51,61.26,85.32,1679.2,27.29,115.66,2936.6,0,NORMAL
PALA-02,78.13,3466.97,0.71,47.73,81.29,1596.3,26.64,154.02,810.1,0,NORMAL
PALA-03,79.88,3672.35,1.96,52.24,85.55,1918.3,25.83,144.18,1624.1,0,NORMAL
CARG-02,88.74,3368.15,3.24,52.3,80.63,1778.5,17.71,176.62,967.4,1,FALLA_ELECTRICA
CARG-02,80.78,3518.71,1.22,50.87,83.85,1602.5,25.97,176.64,196.3,0,NORMAL
PALA-02,73.59,3379.73,1.54,58.54,84.45,1900.8,27.1,170.49,1316.9,0,NORMAL
CARG-01,81.72,3153.83,1.8,68.36,76.73,1582.4,26.76,101.91,312.1,0,NORMAL
CARG-01,81.65,3286.03,1.65,48.43,82.73,1793.7,24.68,166.87,3397.4,0,NORMAL
PALA-03,87.39,3612.4,1.97,56.12,81.67,2010.1,26.13,224.82,535.7,0,NORMAL
CARG-02,82.06,3155.76,0.53,55.48,76.9,1704.3,26.5,178.07,3446.3,0,NORMAL
PALA-01,80.1,3062.92,3.42,55.58,75.89,1685.4,27.93,157.67,1637.3,0,NORMAL
PALA-01,108.9,3045.85,1.73,60.66,100.46,1740.1,27.43,181.63,622.0,1,FALLA_TERMICA
CARG-02,82.54,3210.84,1.15,55.87,79.87,1987.1,26.26,129.73,966.8,0,NORMAL
PALA-02,78.62,3069.38,2.28,43.32,75.14,1897.1,26.54,174.61,1385.2,0,NORMAL
CARG-01,87.2,3551.32,3.16,46.82,83.32,1666.8,25.31,159.26,2390.6,0,NORMAL
CARG-02,82.87,3288.94,1.04,48.67,84.74,1756.5,24.3,119.97,2512.1,0,NORMAL
PALA-01,82.01,3424.91,2.33,50.26,76.32,1830.7,26.08,168.6,802.7,0,NORMAL
CARG-02,82.8,3196.24,3.7,53.3,80.99,1668.5,27.2,161.54,731.1,0,NORMAL
PALA-02,77.18,3044.76,3.72,52.93,87.07,1584.2,26.54,188.26,3200.9,0,NORMAL
PALA-03,79.63,3014.31,2.88,44.88,77.35,1850.1,25.8,164.66,1609.8,0,NORMAL
PALA-03,82.02,3086.56,1.43,45.96,87.83,1781.2,27.13,167.22,1288.6,0,NORMAL
CARG-02,81.12,3312.55,1.07,43.41,79.7,1758.3,27.83,165.2,2210.1,0,NORMAL
PALA-01,87.73,3343.58,1.21,46.23,80.72,1852.8,25.21,164.68,1943.7,0,NORMAL
PALA-02,82.98,3358.58,3.67,58.96,75.42,1582.6,26.36,199.88,3135.8,0,NORMAL
PALA-03,85.85,2982.04,2.62,52.65,75.57,1692.2,25.97,185.07,596.8,0,NORMAL
CARG-01,82.04,3249.93,2.93,49.24,78.38,2036.6,26.44,127.17,1607.6,0,NORMAL
PALA-03,86.75,3065.31,1.89,44.41,84.54,1788.1,26.04,155.6,738.3,0,NORMAL
PALA-01,83.79,3322.26,0.57,48.94,90.36,1795.4,28.63,110.71,417.7,0,NORMAL
PALA-02,82.06,3336.23,2.31,57.04,91.42,1732.7,26.3,212.19,1044.6,0,NORMAL
PALA-02,81.94,3039.01,1.15,56.38,80.51,1499.1,26.64,135.62,283.3,0,NORMAL
CARG-01,77.71,3424.25,3.29,52.74,79.57,1621.8,26.53,133.38,2128.8,0,NORMAL
PALA-02,84.28,3670.99,1.22,52.66,77.06,1829.6,25.4,223.89,2987.8,0,NORMAL
PALA-01,81.82,3400.27,2.17,45.14,85.46,1655.0,26.56,139.14,1092.6,0,NORMAL
CARG-02,79.74,3220.69,2.66,50.12,78.1,1699.6,25.22,126.75,2233.4,0,NORMAL
PALA-01,86.98,3193.02,6.96,56.78,80.05,1755.0,27.84,183.05,497.8,0,NORMAL
CARG-02,76.37,3212.37,1.86,50.63,82.99,1602.8,27.12,159.69,860.1,0,NORMAL
PALA-03,80.1,3113.07,1.9,62.12,82.81,1566.1,25.94,128.7,2381.7,0,NORMAL
CARG-01,86.62,3295.43,3.3,60.03,78.56,1718.5,26.27,171.78,3222.1,0,NORMAL
PALA-02,83.42,3045.08,1.74,51.73,80.62,1675.5,27.22,181.95,115.7,0,NORMAL
PALA-01,81.78,2909.85,1.55,52.67,78.66,1747.3,26.62,190.21,2267.5,0,NORMAL
CARG-01,83.13,4076.04,1.33,65.12,77.67,1548.2,25.08,316.94,2480.8,1,FALLA_SOBRECARGA
CARG-01,82.81,3253.82,2.03,58.24,76.9,1655.8,26.53,191.05,2111.3,0,NORMAL
CARG-01,75.18,3147.19,1.45,54.35,75.11,1802.7,27.27,189.63,1524.9,0,NORMAL
PALA-01,80.43,3019.11,3.82,54.93,82.45,2073.5,24.53,143.8,3458.7,0,NORMAL
CARG-01,89.27,2275.43,2.87,35.12,80.04,1734.3,26.51,219.77,991.0,1,FALLA_PRESION_HIDRAULICA
CARG-01,79.03,3071.77,2.12,53.92,76.46,1800.5,25.73,182.79,1659.2,0,NORMAL
PALA-03,80.57,3224.99,2.01,48.65,76.09,1778.5,27.41,208.81,2374.3,0,NORMAL
CARG-01,79.56,3567.69,1.29,51.99,76.03,1755.2,26.04,155.15,50.2,0,NORMAL
CARG-01,81.61,3367.21,1.88,46.82,78.55,1801.8,25.96,189.64,1296.0,0,NORMAL
PALA-03,79.38,3003.56,1.78,57.62,85.5,1604.9,27.06,169.53,1405.8,0,NORMAL
PALA-01,84.19,3020.53,4.7,53.34,78.27,1677.1,25.68,193.95,86.4,0,NORMAL
PALA-02,82.89,3277.33,1.73,57.88,83.23,1750.0,26.47,145.34,140.3,0,NORMAL
PALA-01,85.48,3002.44,2.52,47.63,87.24,1604.0,26.62,140.54,3460.6,0,NORMAL
PALA-02,77.27,2889.69,2.59,61.11,81.67,1772.0,26.24,203.14,425.9,0,NORMAL
PALA-02,80.47,3345.83,1.13,60.49,77.94,1490.0,25.36,168.5,865.0,0,NORMAL
PALA-01,80.98,3307.77,1.71,46.13,80.64,1817.5,25.7,194.39,528.3,0,NORMAL
PALA-02,84.05,3331.11,2.83,51.47,80.83,1702.0,26.3,110.6,1822.2,0,NORMAL
PALA-01,78.43,3297.35,1.05,52.01,87.91,1803.3,24.88,131.8,2589.4,0,NORMAL
CARG-01,86.12,3238.24,5.28,46.81,74.07,1839.6,26.47,141.7,315.6,0,NORMAL
CARG-02,87.34,3130.81,2.09,52.7,85.46,1889.2,26.19,205.43,2071.7,0,NORMAL
PALA-01,77.55,3342.9,1.44,56.79,74.03,1752.2,26.86,204.09,1267.9,0,NORMAL
CARG-02,79.79,3525.38,0.93,51.65,84.25,1512.0,26.92,163.07,1742.4,0,NORMAL
PALA-03,79.61,3159.78,4.18,45.44,79.36,1508.6,25.5,176.83,967.6,0,NORMAL
PALA-02,93.85,3066.27,1.77,57.86,88.3,1568.2,25.98,165.89,3029.8,0,NORMAL
PALA-01,80.07,3045.68,2.49,50.04,83.69,1806.4,25.66,125.09,1610.7,0,NORMAL
PALA-03,89.55,3093.99,1.02,50.57,83.29,1551.0,25.98,162.09,603.8,0,NORMAL
CARG-01,76.3,3286.47,1.33,62.41,77.23,1691.9,26.2,128.38,2781.8,0,NORMAL
CARG-01,77.55,2864.87,3.2,55.98,88.22,1669.3,27.3,146.66,2643.8,0,NORMAL
PALA-01,78.91,3329.05,4.12,49.95,92.26,1763.3,25.92,152.14,1722.9,0,NORMAL
PALA-01,78.19,3365.9,1.19,48.05,89.05,1805.8,27.11,217.78,2539.8,0,NORMAL
PALA-02,80.79,2926.35,2.45,58.83,76.99,1731.4,26.61,165.52,2127.2,0,NORMAL
PALA-02,78.81,3073.75,2.43,58.49,80.24,1816.2,27.51,145.74,618.7,0,NORMAL
PALA-01,78.31,3264.34,3.2,51.47,76.25,1587.9,26.12,181.48,3497.6,0,NORMAL
PALA-02,87.21,3224.18,2.56,47.7,78.56,1842.5,25.75,136.87,2714.6,0,NORMAL
CARG-01,87.51,3343.53,2.79,55.93,82.13,1735.8,26.52,253.01,2349.2,0,NORMAL
CARG-02,86.27,3224.6,0.56,56.97,83.92,1811.2,25.11,175.05,2917.4,0,NORMAL
PALA-02,84.36,3477.66,2.39,52.14,83.13,1657.9,26.53,73.46,3252.0,0,NORMAL
CARG-02,82.42,3192.19,0.91,48.48,74.12,1473.9,26.85,131.85,2043.4,0,NORMAL
PALA-02,79.76,3073.05,2.29,54.12,80.85,1799.9,27.28,223.04,2080.1,0,NORMAL
PALA-02,77.71,3058.58,3.44,56.31,83.07,1702.8,26.72,165.18,131.0,0,NORMAL
PALA-01,83.63,3382.38,2.2,51.56,84.79,1864.2,26.29,143.45,1481.4,0,NORMAL
PALA-03,76.72,3255.33,2.82,55.31,82.71,1770.6,27.95,174.2,1805.1,0,NORMAL
CARG-02,77.53,3364.07,3.13,55.8,82.95,2074.2,26.39,104.37,858.0,0,NORMAL
PALA-03,87.19,3360.36,2.98,59.73,80.05,1872.5,25.55,125.99,1290.4,0,NORMAL
PALA-02,90.55,2886.43,2.28,51.9,82.09,1690.2,26.37,110.74,1313.7,0,NORMAL
PALA-03,83.77,3044.79,2.38,48.3,91.34,1529.8,25.32,147.13,1319.0,0,NORMAL
PALA-01,86.98,3066.29,3.37,53.66,85.83,1615.4,25.41,216.32,3347.5,0,NORMAL
CARG-02,80.89,3103.11,5.74,62.44,82.46,1607.5,26.59,180.91,2077.0,0,NORMAL
PALA-03,75.98,3174.34,1.27,45.18,83.91,1657.5,25.34,176.76,1132.9,0,NORMAL
PALA-02,84.75,3429.85,1.53,42.43,81.3,1705.0,25.91,136.9,1101.2,0,NORMAL
PALA-03,84.56,3465.73,3.01,53.46,81.28,1758.1,25.47,187.29,2971.7,0,NORMAL
PALA-03,82.32,3197.28,4.81,52.1,84.8,1884.9,26.51,132.84,2264.0,0,NORMAL
PALA-01,80.91,3204.77,0.82,52.96,78.6,1615.5,25.83,152.84,2986.1,0,NORMAL
PALA-03,86.33,3123.02,0.92,52.77,80.48,1553.4,26.83,186.41,2270.6,0,NORMAL
PALA-01,77.56,3266.05,2.05,59.03,75.52,1819.7,26.76,157.16,3205.8,0,NORMAL
CARG-01,78.52,3286.45,1.21,53.79,84.11,1879.9,25.36,192.01,1437.8,0,NORMAL
CARG-01,77.46,3395.17,2.22,58.1,85.28,1661.1,27.14,152.98,2956.5,0,NORMAL
CARG-01,82.38,3393.72,2.99,41.61,83.41,1844.9,26.26,207.53,656.9,0,NORMAL
PALA-03,77.1,2835.62,1.95,51.35,80.06,1812.4,25.42,174.61,2359.6,0,NORMAL
PALA-03,78.92,1895.08,1.54,28.34,80.82,1515.0,26.7,129.14,1305.0,1,FALLA_PRESION_HIDRAULICA
PALA-01,78.82,3499.14,2.92,42.58,81.59,1643.6,27.81,140.98,1861.2,0,NORMAL
CARG-01,80.83,3171.14,0.78,54.52,85.38,1662.8,26.24,152.19,2591.1,0,NORMAL
PALA-02,75.31,3455.06,1.35,53.5,85.15,1958.6,25.08,193.5,1997.4,0,NORMAL
PALA-02,82.39,4341.86,2.31,51.66,75.26,1781.0,27.14,399.18,2568.5,1,FALLA_SOBRECARGA
PALA-02,87.61,3281.49,2.48,53.37,77.49,1659.6,27.66,107.96,176.1,0,NORMAL
PALA-01,82.61,3045.36,2.75,54.52,82.74,1636.3,25.54,146.48,1429.0,0,NORMAL
PALA-03,88.94,3052.14,1.43,59.07,75.65,1531.6,25.76,202.92,3341.9,0,NORMAL
PALA-01,88.0,3380.59,0.83,57.21,84.67,1847.9,26.43,158.05,2678.0,0,NORMAL
CARG-01,85.5,3408.73,1.23,55.64,79.9,1767.5,24.85,154.56,1716.7,0,NORMAL
PALA-02,82.34,3254.76,1.11,65.54,83.83,1794.3,28.07,180.11,2494.7,0,NORMAL
PALA-01,82.1,3029.05,1.1,50.46,81.14,1565.7,26.36,112.87,143.0,0,NORMAL
PALA-03,85.44,3257.88,0.63,47.2,80.61,1808.3,26.43,181.24,1059.5,0,NORMAL
PALA-01,80.24,3476.3,1.03,59.87,76.65,1691.4,26.69,170.72,3165.6,0,NORMAL
PALA-02,73.53,3563.72,3.26,63.33,78.81,1632.7,26.19,166.91,1762.5,0,NORMAL
CARG-01,84.21,3192.99,1.35,50.82,80.54,1781.6,25.99,197.82,3336.6,0,NORMAL
PALA-01,76.91,2951.22,2.6,60.89,80.41,1576.0,25.65,157.59,964.2,0,NORMAL
CARG-01,77.67,3401.27,0.64,51.33,83.9,1741.5,25.46,161.41,2928.7,0,NORMAL
PALA-01,82.0,3200.33,1.63,56.92,78.43,1688.1,26.73,166.32,117.5,0,NORMAL
PALA-01,81.57,3419.75,1.62,57.2,80.88,1848.7,27.48,88.33,63.5,0,NORMAL
CARG-01,75.65,3300.59,2.95,50.84,87.02,1827.0,27.16,196.68,521.9,0,NORMAL
PALA-02,82.74,3090.98,1.97,63.23,84.29,1730.9,26.17,180.78,952.3,0,NORMAL
PALA-01,86.35,3260.48,1.44,63.81,81.42,1753.7,26.25,178.9,197.0,0,NORMAL
PALA-02,76.92,3485.5,2.54,48.89,75.17,1791.8,27.69,171.92,779.3,0,NORMAL
PALA-02,87.73,3223.15,2.06,55.01,75.51,1718.9,25.76,207.55,3061.7,0,NORMAL
CARG-01,74.98,3063.74,1.32,58.57,83.55,1621.9,25.07,167.46,3208.3,0,NORMAL
PALA-02,91.53,2964.04,2.52,44.59,83.96,1662.1,26.6,152.5,458.5,0,NORMAL
CARG-01,80.15,3111.01,2.94,54.13,73.22,1573.5,27.08,99.3,1138.1,0,NORMAL
CARG-02,82.66,3176.18,3.27,45.73,83.8,1831.0,24.41,115.55,2153.7,0,NORMAL
PALA-02,73.49,3397.6,1.72,57.34,78.75,1767.7,26.72,149.33,2330.3,0,NORMAL
CARG-02,81.72,3048.25,2.36,54.43,79.38,1669.2,25.5,163.5,145.9,0,NORMAL
PALA-02,83.03,3529.68,2.4,52.13,84.56,1633.0,25.27,139.34,3196.7,0,NORMAL
CARG-02,81.61,3009.31,0.77,46.17,83.93,1748.4,26.17,151.96,1523.7,0,NORMAL
PALA-01,79.47,3669.67,2.81,51.01,80.61,1550.4,25.48,128.34,1572.2,0,NORMAL
PALA-03,77.74,3560.59,2.42,56.6,83.75,1591.8,24.98,193.05,345.1,0,NORMAL
PALA-02,87.09,3275.41,1.31,53.8,79.55,1717.6,26.49,150.03,1861.6,0,NORMAL
PALA-02,82.14,2953.42,2.43,59.96,77.84,2012.9,26.36,201.26,2077.0,0,NORMAL
PALA-03,88.93,3240.02,0.87,59.64,86.04,1774.3,25.03,150.82,1626.8,0,NORMAL
CARG-01,79.63,3180.37,2.75,59.43,86.3,1742.2,25.27,172.67,3112.4,0,NORMAL
PALA-01,80.04,3020.63,2.1,51.31,78.43,1579.5,26.77,176.39,425.2,0,NORMAL
PALA-01,85.67,3302.38,1.43,55.47,78.86,1608.0,26.82,165.62,687.4,0,NORMAL
CARG-01,74.7,3101.74,0.93,49.17,84.57,1882.8,24.28,121.35,1344.4,0,NORMAL
PALA-03,76.54,3971.26,1.28,47.7,78.23,1664.6,25.39,275.55,2151.7,1,FALLA_SOBRECARGA
CARG-02,86.94,3213.34,0.86,59.91,84.2,1728.5,26.33,87.31,1512.8,0,NORMAL
CARG-01,76.73,3146.52,2.63,48.07,76.9,1791.0,26.74,217.49,2985.6,0,NORMAL
CARG-02,73.81,3624.07,2.54,47.53,79.85,1669.6,26.73,42.38,783.6,0,NORMAL
CARG-01,90.41,3153.57,3.01,54.53,84.91,1659.1,26.88,189.47,877.4,0,NORMAL
PALA-02,75.73,3329.36,0.96,52.65,77.12,1513.0,25.82,163.8,3126.2,0,NORMAL
PALA-01,82.83,3276.19,0.91,53.08,78.65,1574.1,26.54,99.22,1665.1,0,NORMAL
CARG-01,82.31,3313.5,0.86,65.53,82.51,1790.4,26.08,169.12,2299.6,0,NORMAL
PALA-03,69.35,3327.24,1.1,49.03,73.81,1667.4,25.95,121.27,1346.2,0,NORMAL
PALA-01,80.8,3408.65,3.22,56.48,81.29,1800.2,25.19,175.14,1344.8,0,NORMAL
PALA-02,84.02,3297.96,3.4,54.43,85.64,1529.8,26.64,157.99,549.6,0,NORMAL
CARG-02,83.59,3290.48,1.85,59.05,84.46,1817.4,25.08,168.03,3111.2,0,NORMAL
PALA-03,86.07,3260.53,10.74,50.07,80.8,1715.2,25.46,147.08,3183.7,1,FALLA_DESGASTE_RODAMIENTOS
PALA-02,80.26,3225.08,1.23,52.88,81.08,1543.5,26.95,206.54,1898.7,0,NORMAL
PALA-02,85.21,3085.88,1.65,54.57,86.97,1855.5,26.27,124.45,184.1,0,NORMAL
PALA-01,78.9,3239.04,6.93,46.83,86.48,1551.2,27.24,136.4,826.2,0,NORMAL
PALA-02,75.65,3293.43,1.78,44.97,80.62,1849.3,26.13,154.01,710.3,0,NORMAL
PALA-02,76.16,3322.39,3.17,53.9,78.48,1716.1,25.96,156.42,1902.3,0,NORMAL
PALA-01,75.42,3282.45,2.75,60.69,84.43,1612.8,27.32,120.39,594.3,0,NORMAL
CARG-01,86.54,3208.07,7.87,52.24,85.52,1941.8,26.08,90.16,4089.7,1,FALLA_DESGASTE_RODAMIENTOS
PALA-02,75.18,4104.14,6.54,52.92,86.51,1768.6,26.62,315.88,721.7,1,FALLA_SOBRECARGA
CARG-01,83.23,1851.71,2.82,31.27,83.33,1865.8,26.27,171.46,1037.5,1,FALLA_PRESION_HIDRAULICA
CARG-02,80.8,3306.38,2.11,53.26,79.58,1771.9,26.5,219.6,1089.9,0,NORMAL
PALA-01,81.54,3210.2,0.99,57.88,74.32,1694.0,26.22,203.81,834.4,0,NORMAL
PALA-03,88.14,3282.5,1.93,67.33,88.75,1615.5,27.1,162.32,957.7,0,NORMAL
PALA-02,80.03,3430.14,3.33,51.11,87.41,1698.3,26.45,136.37,582.1,0,NORMAL
CARG-02,84.75,3122.32,1.88,53.11,77.93,1739.6,26.13,199.49,2717.7,0,NORMAL
PALA-01,82.17,3357.41,2.15,55.98,81.76,1818.0,26.6,130.3,3405.8,0,NORMAL
PALA-03,81.32,3255.98,2.63,61.46,80.12,1672.8,25.16,191.25,2747.5,0,NORMAL
PALA-03,92.35,3613.81,0.83,53.42,81.26,1781.6,27.21,109.78,1314.3,0,NORMAL
PALA-02,75.51,3211.07,1.01,57.65,79.4,1921.4,25.19,228.8,2659.5,0,NORMAL
PALA-01,118.99,3375.13,2.87,55.74,101.28,1739.0,25.87,122.61,267.0,1,FALLA_TERMICA
PALA-03,84.95,3252.76,1.69,53.64,76.46,1484.9,26.04,125.35,1270.1,0,NORMAL
CARG-01,79.84,3000.11,2.04,51.9,79.42,1725.8,26.6,93.27,1419.2,0,NORMAL
PALA-02,89.33,4055.71,2.18,50.95,84.49,1708.6,27.7,310.57,94.0,1,FALLA_SOBRECARGA
PALA-03,73.68,3408.48,1.75,69.33,73.11,1704.8,27.23,175.26,3327.9,0,NORMAL
PALA-02,79.65,3172.11,5.09,46.29,82.23,1528.5,25.22,139.08,1652.5,0,NORMAL
CARG-01,76.56,2850.35,3.7,46.77,78.81,1753.2,25.69,128.9,3458.1,0,NORMAL
PALA-01,83.85,3244.35,1.37,55.22,87.46,1656.2,25.28,109.28,1013.0,0,NORMAL
CARG-02,76.99,3053.38,1.66,55.02,82.32,1707.3,25.36,169.79,3427.3,0,NORMAL
PALA-02,83.95,3273.73,3.28,56.13,77.85,1833.8,25.93,184.34,2165.5,0,NORMAL
PALA-02,81.16,3529.21,3.21,49.63,86.81,1622.6,27.45,165.73,1486.0,0,NORMAL
